"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"De 35 a 39 años (206)",138,134,6,15,43,30,31,9,,,4,382
"De 40 a 44 años (207)",129,126,4,5,19,25,54,15,4,,3,485
"De 45 a 49 años (208)",107,103,1,7,16,17,31,18,10,3,4,460
"De 50 y más años (209)",432,421,15,19,23,37,77,99,74,77,11,2665
"Sin nivel (210)",160,155,7,5,9,6,24,44,33,27,5,1021
"De 15 a 19 años (212)",1,1,1,,,,,,,,,
"De 20 a 24 años (213)",3,1,1,,,,,,,,2,
"De 25 a 29 años (214)",2,1,,1,,,,,,,1,1
"De 30 a 34 años (215)",2,2,,,2,,,,,,,4
"De 35 a 39 años (216)",3,3,1,,1,,,1,,,,9
"De 40 a 44 años (217)",3,3,,,,,1,2,,,,16
"De 45 a 49 años (218)",12,12,1,,,,5,5,1,,,66
"De 50 y más años (219)",134,132,3,4,6,6,18,36,32,27,2,925
"Educacion Inicial (220)",1,1,1,,,,,,,,,
"De 12 a 14 años (221)",1,1,1,,,,,,,,,
"Primaria (230)",451,441,59,23,39,58,88,76,50,48,10,2131
"De 12 a 14 años (231)",44,44,43,1,,,,,,,,1
"De 15 a 19 años (232)",13,13,9,1,3,,,,,,,7
"De 20 a 24 años (233)",13,12,1,4,7,,,,,,1,18
"De 25 a 29 años (234)",8,8,,1,5,,2,,,,,19
"De 30 a 34 años (235)",25,23,,4,5,8,4,2,,,2,66
"De 35 a 39 años (236)",32,32,2,1,4,11,8,6,,,,113
"De 40 a 44 años (237)",48,46,,,3,9,22,9,3,,2,218
"De 45 a 49 años (238)",42,41,,,5,6,12,6,9,3,1,229
"De 50 y más años (239)",226,222,4,11,7,24,40,53,38,45,4,1460
"Secundaria (240)",712,682,227,120,131,82,92,20,5,5,30,1246
"De 12 a 14 años (241)",75,75,75,,,,,,,,,
"De 15 a 19 años (242)",155,150,123,26,1,,,,,,5,28
"De 20 a 24 años (243)",88,83,16,43,20,3,1,,,,5,96
"De 25 a 29 años (244)",81,76,3,26,29,16,2,,,,5,140
"De 30 a 34 años (245)",81,74,1,12,29,19,13,,,,7,182
"De 35 a 39 años (246)",75,73,1,5,27,17,21,2,,,2,215
"De 40 a 44 años (247)",61,61,2,2,10,14,28,4,1,,,218
"De 45 a 49 años (248)",41,38,,4,8,9,11,6,,,3,131
"De 50 y más años (249)",55,52,6,2,7,4,16,8,4,5,3,236
"Sup. no Univ. incompleta (250)",107,97,44,26,17,5,4,1,,,10,98
"De 15 a 19 años (252)",23,23,21,1,1,,,,,,,3
"De 20 a 24 años (253)",29,26,19,6,1,,,,,,3,8
"De 25 a 29 años (254)",23,16,2,9,5,,,,,,7,19
"De 30 a 34 años (255)",11,11,,6,4,1,,,,,,17
"De 35 a 39 años (256)",7,7,,1,3,2,1,,,,,17
"De 40 a 44 años (257)",6,6,1,1,2,,2,,,,,13
"De 45 a 49 años (258)",1,1,,,1,,,,,,,2
"De 50 y más años (259)",7,7,1,2,,2,1,1,,,,19
"Sup. no Univ. completa (260)",91,66,14,29,15,2,5,1,,,25,93
"De 20 a 24 años (263)",31,19,11,7,1,,,,,,12,9
"De 25 a 29 años (264)",22,14,1,9,4,,,,,,8,17
"De 30 a 34 años (265)",19,16,1,8,4,2,1,,,,3,26
"De 35 a 39 años (266)",10,9,1,4,3,,1,,,,1,14
"De 40 a 44 años (267)",2,2,,1,1,,,,,,,3
"De 45 a 49 años (268)",4,4,,,1,,2,1,,,,17
"De 50 y más años (269)",3,2,,,1,,1,,,,1,7
"Sup. Univ. incompleta (270)",30,25,18,4,2,1,,,,,5,11
"De 15 a 19 años (272)",11,11,10,1,,,,,,,,1
"De 20 a 24 años (273)",10,7,7,,,,,,,,3,
"De 25 a 29 años (274)",1,1,,1,,,,,,,,1
"De 30 a 34 años (275)",2,1,,1,,,,,,,1,1
"De 35 a 39 años (276)",1,1,,1,,,,,,,,1
"De 40 a 44 años (277)",1,,,,,,,,,,1,
"De 45 a 49 años (278)",2,2,,,1,1,,,,,,5
"De 50 y más años (279)",2,2,1,,1,,,,,,,2
"Sup. Univ. completa (280)",47,38,4,14,12,4,3,1,,,9,69
"De 20 a 24 años (283)",5,3,1,2,,,,,,,2,2
"De 25 a 29 años (284)",9,5,1,3,1,,,,,,4,5
"De 30 a 34 años (285)",5,4,,2,2,,,,,,1,6
"De 35 a 39 años (286)",10,9,1,3,5,,,,,,1,13
"De 40 a 44 años (287)",8,8,1,1,3,2,1,,,,,17
"De 45 a 49 años (288)",5,5,,3,,1,1,,,,,10
"De 50 y más años (289)",5,4,,,1,1,1,1,,,1,16
