"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
"Mujeres (110)",2946,4,286,63,148,979,206,95,39,983,1,142
"Agric., ganadería, caza y silvicultura (111)",520,,1,1,1,3,206,,,308,,
"Pesca (112)",1,,,,,,,,,1,,
"Explotación de minas y canteras (113)",1,,,,,,,,1,,,
"Industrias manufactureras (114)",98,,1,,1,1,,84,4,7,,
"Construcción (116)",41,,2,1,9,,,,12,17,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",779,,2,6,2,613,,10,,146,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",31,,,2,,18,,8,,3,,
"Comercio al por mayor (119)",21,,1,1,,19,,,,,,
"Comercio al por menor (120)",727,,1,3,2,576,,2,,143,,
"Hoteles y restaurantes (121)",507,,1,8,5,333,,,,160,,
"Trans., almac. y comunicaciones (122)",54,,1,3,9,1,,,18,22,,
"Intermediación financiera (123)",5,,,1,4,,,,,,,
"Activid.inmobil., empres. y alquileres (124)",74,,11,11,37,2,,,1,12,,
"Admin.pub. y defensa; p. segur.soc.afil (125)",94,4,4,8,44,2,,,3,28,1,
"Enseñanza (126)",235,,232,1,1,,,,,1,,
"Servicios sociales y de salud (127)",59,,27,16,3,1,,,,12,,
"Otras activ. serv.comun.soc y personales (128)",97,,4,4,5,23,,1,,60,,
"Hogares privados con servicio doméstico (129)",209,,,,,,,,,209,,
"Actividad economica no especificada (131)",172,,,3,27,,,,,,,142
,,,,,,,,,,,,
"RURAL (132)",9137,3,140,40,34,294,4921,169,235,3093,,208
"Agric., ganadería, caza y silvicultura (133)",7698,,7,4,,,4918,,3,2766,,
"Pesca (134)",4,,,,,,3,,,1,,
"Explotación de minas y canteras (135)",6,,,,,,,4,,2,,
"Industrias manufactureras (136)",162,,1,3,,,,144,13,1,,
"Suministro de electricidad, gas y agua (137)",1,,,,,,,,,1,,
"Construcción (138)",148,,1,,2,,,3,80,62,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",250,,,4,,181,,17,9,39,,
"Venta, mant.y rep. veh.autom.y motoc. (140)",39,,,2,,10,,16,9,2,,
"Comercio al por mayor (141)",14,,,,,14,,,,,,
"Comercio al por menor (142)",197,,,2,,157,,1,,37,,
"Hoteles y restaurantes (143)",150,,1,2,1,100,,,,46,,
"Trans., almac. y comunicaciones (144)",156,,,1,3,,,,126,26,,
"Activid.inmobil., empres. y alquileres (146)",34,,2,4,13,3,,1,3,8,,
"Admin.pub. y defensa; p. segur.soc.afil (147)",20,3,,1,11,3,,,1,1,,
"Enseñanza (148)",121,,120,,,,,,,1,,
"Servicios sociales y de salud (149)",26,,6,14,,2,,,,4,,
"Otras activ. serv.comun.soc y personales (150)",33,,2,6,,5,,,,20,,
"Hogares privados con servicio doméstico (151)",115,,,,,,,,,115,,
"Actividad economica no especificada (153)",213,,,1,4,,,,,,,208
"Hombres (154)",7345,2,74,21,23,87,4562,148,223,2095,,110
"Agric., ganadería, caza y silvicultura (155)",6523,,5,4,,,4559,,3,1952,,
"Pesca (156)",3,,,,,,3,,,,,
"Explotación de minas y canteras (157)",6,,,,,,,4,,2,,
"Industrias manufactureras (158)",132,,1,3,,,,123,4,1,,
"Suministro de electricidad, gas y agua (159)",1,,,,,,,,,1,,
"Construcción (160)",143,,1,,1,,,3,79,59,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",115,,,3,,74,,17,9,12,,
"Venta, mant.y rep. veh.autom.y motoc. (162)",38,,,2,,9,,16,9,2,,
"Comercio al por mayor (163)",11,,,,,11,,,,,,
"Comercio al por menor (164)",66,,,1,,54,,1,,10,,
"Hoteles y restaurantes (165)",11,,1,,,6,,,,4,,
"Trans., almac. y comunicaciones (166)",153,,,1,3,,,,124,25,,
"Activid.inmobil., empres. y alquileres (168)",25,,1,2,7,3,,1,3,8,,
"Admin.pub. y defensa; p. segur.soc.afil (169)",17,2,,1,10,3,,,1,,,
"Enseñanza (170)",63,,62,,,,,,,1,,
"Servicios sociales y de salud (171)",7,,2,5,,,,,,,,
"Otras activ. serv.comun.soc y personales (172)",15,,1,2,,1,,,,11,,
"Hogares privados con servicio doméstico (173)",19,,,,,,,,,19,,
"Actividad economica no especificada (175)",112,,,,2,,,,,,,110
"Mujeres (176)",1792,1,66,19,11,207,359,21,12,998,,98
"Agric., ganadería, caza y silvicultura (177)",1175,,2,,,,359,,,814,,
"Pesca (178)",1,,,,,,,,,1,,
"Industrias manufactureras (180)",30,,,,,,,21,9,,,
"Construcción (182)",5,,,,1,,,,1,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",135,,,1,,107,,,,27,,
"Venta, mant.y rep. veh.autom.y motoc. (184)",1,,,,,1,,,,,,
"Comercio al por mayor (185)",3,,,,,3,,,,,,
"Comercio al por menor (186)",131,,,1,,103,,,,27,,
"Hoteles y restaurantes (187)",139,,,2,1,94,,,,42,,
"Trans., almac. y comunicaciones (188)",3,,,,,,,,2,1,,
"Activid.inmobil., empres. y alquileres (190)",9,,1,2,6,,,,,,,
"Admin.pub. y defensa; p. segur.soc.afil (191)",3,1,,,1,,,,,1,,
"Enseñanza (192)",58,,58,,,,,,,,,
"Servicios sociales y de salud (193)",19,,4,9,,2,,,,4,,
"Otras activ. serv.comun.soc y personales (194)",18,,1,4,,4,,,,9,,
"Hogares privados con servicio doméstico (195)",96,,,,,,,,,96,,
"Actividad economica no especificada (197)",101,,,1,2,,,,,,,98
