"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"De 25 a 29 años (234)",211,197,1,50,53,55,35,3,,,14,483
"De 30 a 34 años (235)",279,266,3,29,69,64,81,19,1,,13,837
"De 35 a 39 años (236)",324,315,2,32,61,67,110,36,7,,9,1136
"De 40 a 44 años (237)",357,349,1,18,47,53,124,75,29,2,8,1563
"De 45 a 49 años (238)",303,300,,15,35,44,93,86,19,8,3,1420
"De 50 y más años (239)",1172,1162,11,100,114,140,362,292,121,22,10,5493
"Secundaria (240)",783,720,5,283,180,100,117,27,8,,63,1695
"De 12 a 14 años (241)",5,3,,3,,,,,,,2,3
"De 15 a 19 años (242)",49,40,2,36,1,1,,,,,9,41
"De 20 a 24 años (243)",177,158,,107,42,9,,,,,19,218
"De 25 a 29 años (244)",180,161,1,66,57,20,17,,,,19,312
"De 30 a 34 años (245)",135,123,1,38,29,28,25,2,,,12,303
"De 35 a 39 años (246)",99,98,,20,22,17,28,10,1,,1,309
"De 40 a 44 años (247)",62,61,,2,17,13,21,8,,,1,219
"De 45 a 49 años (248)",30,30,1,1,8,8,11,1,,,,101
"De 50 y más años (249)",46,46,,10,4,4,15,6,7,,,189
"Sup. no Univ. incompleta (250)",12,10,,5,2,2,1,,,,2,19
"De 20 a 24 años (253)",3,1,,1,,,,,,,2,1
"De 25 a 29 años (254)",1,1,,1,,,,,,,,1
"De 30 a 34 años (255)",3,3,,2,,1,,,,,,5
"De 35 a 39 años (256)",1,1,,1,,,,,,,,1
"De 40 a 44 años (257)",2,2,,,1,,1,,,,,6
"De 45 a 49 años (258)",1,1,,,1,,,,,,,2
"De 50 y más años (259)",1,1,,,,1,,,,,,3
"Sup. no Univ. completa (260)",25,21,,9,6,5,1,,,,4,40
"De 20 a 24 años (263)",2,1,,,1,,,,,,1,2
"De 25 a 29 años (264)",7,5,,4,1,,,,,,2,6
"De 30 a 34 años (265)",7,7,,4,3,,,,,,,10
"De 35 a 39 años (266)",1,1,,,1,,,,,,,2
"De 40 a 44 años (267)",1,1,,,,1,,,,,,3
"De 45 a 49 años (268)",1,1,,,,1,,,,,,3
"De 50 y más años (269)",6,5,,1,,3,1,,,,1,14
"Sup. Univ. incompleta (270)",4,3,,1,,,2,,,,1,10
"De 20 a 24 años (273)",1,,,,,,,,,,1,
"De 25 a 29 años (274)",1,1,,1,,,,,,,,1
"De 30 a 34 años (275)",1,1,,,,,1,,,,,4
"De 35 a 39 años (276)",1,1,,,,,1,,,,,5
"Sup. Univ. completa (280)",18,16,,5,5,5,1,,,,2,34
"De 20 a 24 años (283)",2,2,,2,,,,,,,,2
"De 25 a 29 años (284)",2,2,,,,2,,,,,,6
"De 30 a 34 años (285)",1,,,,,,,,,,1,
"De 35 a 39 años (286)",4,3,,1,1,,1,,,,1,7
"De 40 a 44 años (287)",4,4,,1,2,1,,,,,,8
"De 45 a 49 años (288)",1,1,,,1,,,,,,,2
"De 50 y más años (289)",4,4,,1,1,2,,,,,,9
